"CPU Time Used","Estimated Training Performance","Wallclock Time","Incumbent ID","Automatic Configurator (CPU) Time","Configuration..."
0.000000, 2147483648.000000, 0.000281, 1, 0.000281, sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur=''2'', sp-first-restart='100', sp-learned-clause-sort-heur=''0'', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-orig-clause-sort-heur=''0'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.001'', sp-resolution=''1'', sp-restart-inc='1.5', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='1.0', sp-var-dec-heur=''0'', sp-variable-decay='1.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-rand-phase-dec-freq=''0.001'', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur=''0'', sp-rand-phase-scaling='1.0'
0.020029, 0.020029, 0.191733, 1, 0.171704, sp-clause-activity-inc='1.0', sp-clause-decay='1.4', sp-clause-del-heur=''2'', sp-first-restart='100', sp-learned-clause-sort-heur=''0'', sp-learned-clauses-inc='1.3', sp-learned-size-factor='0.4', sp-orig-clause-sort-heur=''0'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.001'', sp-resolution=''1'', sp-restart-inc='1.5', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='1.0', sp-var-dec-heur=''0'', sp-variable-decay='1.4', sp-max-res-lit-inc='1.0', sp-max-res-runs='4', sp-rand-phase-dec-freq=''0.001'', sp-rand-var-dec-scaling='1.0', sp-res-cutoff-cls='8', sp-res-cutoff-lits='400', sp-res-order-heur=''0'', sp-rand-phase-scaling='1.0'
0.156293, 0.019775, 2.676442, 2, 2.520149, sp-clause-activity-inc='0.6377872386639998', sp-clause-decay='1.1206812119234915', sp-clause-del-heur=''0'', sp-first-restart='136', sp-learned-clause-sort-heur=''18'', sp-learned-clauses-inc='1.4120419409185714', sp-learned-size-factor='0.6877280531121919', sp-orig-clause-sort-heur=''6'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.005'', sp-resolution=''0'', sp-restart-inc='1.6472665855507442', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''0'', sp-var-activity-inc='1.0168962706487181', sp-var-dec-heur=''4'', sp-variable-decay='1.7016184345263359', sp-rand-phase-dec-freq=''0.005'', sp-rand-var-dec-scaling='0.9646530181887345', sp-rand-phase-scaling='0.47092579326594486'
0.459151, 0.014791, 6.788043, 3, 6.328892, sp-clause-activity-inc='0.9515735255576775', sp-clause-decay='1.5271836769078104', sp-clause-del-heur=''2'', sp-first-restart='1202', sp-learned-clause-sort-heur=''10'', sp-learned-clauses-inc='1.1748278848498095', sp-learned-size-factor='0.33082957615623876', sp-orig-clause-sort-heur=''15'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.001'', sp-resolution=''0'', sp-restart-inc='1.6926831186577522', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='0.525955948286133', sp-var-dec-heur=''6'', sp-variable-decay='1.8673494424465915', sp-rand-phase-dec-freq=''0.005'', sp-rand-var-dec-scaling='0.8518842024859519', sp-rand-phase-scaling='0.660543284683454'
0.845993, 0.014955, 11.572529, 4, 10.726536, sp-clause-activity-inc='1.3639206006339568', sp-clause-decay='1.6653546235586862', sp-clause-del-heur=''2'', sp-first-restart='1335', sp-learned-clause-sort-heur=''8'', sp-learned-clauses-inc='1.2813277007504074', sp-learned-size-factor='0.6170863865773565', sp-orig-clause-sort-heur=''19'', sp-phase-dec-heur=''4'', sp-rand-var-dec-freq=''0'', sp-resolution=''0'', sp-restart-inc='1.695724435564694', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='0.9506490811860423', sp-var-dec-heur=''18'', sp-variable-decay='1.911883863510666', sp-rand-phase-dec-freq=''0''
1.189409, 0.015072, 17.117153, 5, 15.927744, sp-clause-activity-inc='1.3639206006339568', sp-clause-decay='1.3665679543538949', sp-clause-del-heur=''2'', sp-first-restart='1335', sp-learned-clause-sort-heur=''8'', sp-learned-clauses-inc='1.2813277007504074', sp-learned-size-factor='0.6170863865773565', sp-orig-clause-sort-heur=''9'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0'', sp-resolution=''0'', sp-restart-inc='1.695724435564694', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='0.707526259395092', sp-var-dec-heur=''18'', sp-variable-decay='1.911883863510666', sp-rand-phase-dec-freq=''0''
1.509877, 0.015675, 23.135370, 6, 21.625493, sp-clause-activity-inc='0.7655596815627335', sp-clause-decay='1.2694102236997444', sp-clause-del-heur=''2'', sp-first-restart='1202', sp-learned-clause-sort-heur=''10'', sp-learned-clauses-inc='1.1748278848498095', sp-learned-size-factor='0.33082957615623876', sp-orig-clause-sort-heur=''10'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0'', sp-resolution=''0'', sp-restart-inc='1.7143279970951242', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='0.9025151590956902', sp-var-dec-heur=''18'', sp-variable-decay='1.8673494424465915', sp-rand-phase-dec-freq=''0.005'', sp-rand-phase-scaling='0.660543284683454'
2.843501, 0.013868, 42.589154, 7, 39.745653, sp-clause-activity-inc='0.7655596815627335', sp-clause-decay='1.0871084215158278', sp-clause-del-heur=''2'', sp-first-restart='1202', sp-learned-clause-sort-heur=''18'', sp-learned-clauses-inc='1.2379717057961366', sp-learned-size-factor='0.503720250766399', sp-orig-clause-sort-heur=''15'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.01'', sp-resolution=''0'', sp-restart-inc='1.7143279970951242', sp-update-dec-queue=''1'', sp-use-pure-literal-rule=''1'', sp-var-activity-inc='0.726833651350131', sp-var-dec-heur=''18'', sp-variable-decay='1.8673494424465915', sp-rand-phase-dec-freq=''0'', sp-rand-var-dec-scaling='1.0'
4.546800, 0.014587, 65.391737, 8, 60.844937, sp-clause-activity-inc='0.826081781303421', sp-clause-decay='1.072779158563954', sp-clause-del-heur=''1'', sp-first-restart='3118', sp-learned-clause-sort-heur=''14'', sp-learned-clauses-inc='1.3857994091840835', sp-learned-size-factor='0.5404811067854498', sp-orig-clause-sort-heur=''4'', sp-phase-dec-heur=''5'', sp-rand-var-dec-freq=''0.01'', sp-resolution=''0'', sp-restart-inc='1.488501448728777', sp-update-dec-queue=''0'', sp-use-pure-literal-rule=''0'', sp-var-activity-inc='0.647127072074659', sp-var-dec-heur=''16'', sp-variable-decay='1.3910602998159576', sp-rand-phase-dec-freq=''0.01'', sp-rand-var-dec-scaling='0.91443373639987', sp-rand-phase-scaling='0.7000257734407929'
